Name,Order,Suborder,Superfamily,Family,Genus,Species,Identification,Size,Length,Abdomen,Hindwing,Similar Species,Habitat,Discussion,Distribution
Mantled Baskettail,Odonata,Anisoptera,Libelluloidea,Corduliidae,Epitheca,semiaquea,"This species has a broad abdomen that is never constricted behind segment 3, but tapers regularly after segment 6. The hindwings are often broadly colored with brown out past the 4th antenodal crossvein, to the level of the nodus or nearly so. This maculation is variable in specimens
 within the south-central United States, however, and can be confused with maculated individuals of Common Baskettail (E. cynosura). The abdomen is widest and shortest of all our Baskettails. Segments 4-6 are wider than long. The male cerci are widely divergent dorsally and the female caudal appendages are short, between 1.2 and 1.5 mm long.",Total length: 34-38 mm; abdomen: 24-30 mm; hindwing: 24-31 mm,34-38 mm,24-30 mm,24-31 mm,"Common Baskettails with extensive markings on the hindwing are similar, but these markings don't reach the hind margin of the wing and rarely extend out to the nodus.",Lakes and ponds with submerged and emergent vegetation.,"This species has only recently been discovered in Oklahoma. Little has been reported on the behavior of this species, but it is often found perched on twigs and bushes in open clearings; sometimes in large numbers. Eastern individuals have more extensive maculation in the hindwing.",Eastern U.S. along coast and Oklahoma and Texas.
Eastern Ringtail,Odonata,Anisoptera,Gomphioidea,Gomphidae,Erpetogomphus,designatus,"This is the most widely distributed of the ringtail species in the region. The face of this yellowish-green species is pale green and the vertex is dark brown. The green occiput is swollen medially in both sexes. The middorsal thoracic stripe widens anteriorly toward the collar. The brown antehumeral stripe tapers distally and is free at both ends. The brown humeral stripe is complete and well-developed, but not extending considerably posteroventrally. The midlateral stripe is weakly developed and interrupted, often lacking at its upper end. The third lateral stripe is narrow, but complete. The femora are pale green becoming darker distally and the tibiae are dark brown armed with black spines. The wings have a distinctive basal wash of yellow. The abdomen is pale green marked with reddish-brown rings and interrupted dorsolateral stripe on segments 3-6. The remaining segments in the male are light yellowish-brown and in the female segments 7-8 are darker dorsall
y.",Total length: 49-55 mm; abdomen: 34-37 mm; hindwing: 28-32 mm.,49-55 mm,34-37 mm,28-32 mm.,"This species can be distinguished from other ringtail species by a combination of characters including the diffuse yellow or brown basally in the quadrangles of all wings, a dark brown (not black
) pterostigma and a medially swollen occiput in both sexes. The larger Flag-tailed Spinyleg (Dromogomphus spoliatus
) has longer black legs and a distinctly larger club in both sexes.",Clear streams and rivers of deciduous forests with moderate current.,"This is the best known and most widely distributed of the species in this group. It may be abundant, perched on the ground or on vegetation a foot or two above the ground. Emergent rocks surrounded by swift current along the stream margin are also favored perches. Females fly swiftly, occasionally hovering over the water, tapping their abdomens on the surface. Eastern Ringtail is partially sympatric with White-belted Ringtail (E. compositus). It also flys with Blue-faced Ringtail (E. eutainia
) in central Texas.","Widely distributed, including east of Texas. North to Montana southward to Mexico."
Pin-tailed Pondhawk,Odonata,Anisoptera,Libelluloidea,Libellulidae,Erythemis,plebeja,"This is the only black pondhawk in the south-central United States. Its face and thorax are brownish in young males and females and black in older males. The hindwing of both sexes have a small black spot basally. Abdominal segments 1-3 are greatly swollen. The remaining segments are thin. Abdominal segments 1-3 are light brown and segments 4-7 have light brown rings. The entire abdomen except for the brown
cerci becomes black in older males. The female has a ventrally projecting spout-like ovipositor on segment 9.",Total length: 41-49 mm; abdomen: 30-39 mm; hindwing: 30-37 mm,41-49 mm,30-39 mm,30-37 mm,"This species can easily be distinguished from other pondhawks by the combination of its dark color, a small basal black spot in the hindwing and an extremely thin abdomen. Marl Pennant (Macrodiplax balteata
) is larger with more black basally in the hindwing, and the abdomen is not noticeably narrowed. The young male and female Band-winged (Erythrodiplax umbrata
) and Black-winged (E. funerea
) Dragonlets lack the prominent swollen basal abdominal segments. Other skimmers like Black Setwing (Dythemis nigrescens
) and Gray-waisted Skimmer (Cannaphila insularis
) have much smaller dark spots in the hindwing, that may be entirely absent.","Ponds, lakes, ditches and slow reaches of rivers and streams","This species is an extremely active, aggressive flier. Males perch on vegetation low over the water. It only occurs as far north as southern Texas and northeastern Mexico. Mating takes a reported average of 40 seconds. Other aspects of its reproduction are presumed similar to that of the better known Eastern Pondhawk. It probably flies year round in extreme southern Texas.",Southern Florida and Texas south through Central America to Argentina.
Eastern Pondhawk,Odonata,Anisoptera,Libelluloidea,Libellulidae,Erythemis,simplicicollis,"This is one of the most widely distributed species in the region and in all of the eastern United States. It has a green face
. Young males and females are bright green becoming powder blue in older males, starting basally on the abdomen and the front of the thorax. The wings are clear. The abdomen, before becoming obscured in older males, is black with green dorsolateral spots on abdominal segments 4-6 and yellow or pale cerci. Females have a ventrally projecting spout-like ovipositor below segment 9. It is not unusual to see green males with varying degrees of pruinosity.",Total length: 36-48 mm; abdomen: 24-30 mm; hindwing: 30-34 mm.,36-48 mm,24-30 mm,30-34 mm.,"The western form of this species, Western Pondhawk (E. s. collocata), darker overall and males have black cerci. The abdomen of Western Pondhawk is also broader. In young males and females there is a dark dorsal abdominal stripe. Great Pondhawk (E. vesiculosa
) is larger with a more slender abdomen and dark rings on segments 4-7. Other similar skimmers can be distinguished by the face color and or markings in the wings.","Ponds, lakes, ditches, and slow moving creeks, streams and rivers.","This species is known from every county and parish in Arkansas and Louisiana. Its green color and common habit of resting on the ground, trash, logs or other objects, may result in its initial confusion with clubtails, but the eyes are widely joined on top of the head. This species regularly preys on a variety of small and large insects, up to and including other Eastern Pondhawks. Although Eastern Pondhawk inhabits almost any slow moving body of water, they are often found around plants on the water surface, such as water lilies, lotus and duckweed, where males patrol their territories. Males of this species display a unique ""leap frogging"" behavior when defending territories. A male cha
sing another male will suddenly move under the male in front. This swapping of positions will often occur repeatedly. The change in males, from a green coloration to the pruinose blue over the entire thorax and first 7 abdominal segments occurs through a predictable progression of color patterns. Over a period of 2-3 weeks, this species undergoes 17 different color patterns. The rate of color change significantly decreases with both decreasing food consumption and air temperature. Two studies found that sperm from the most recent mating competes for fertilizations with sperm stored from previous matings only if the female oviposits on the following day without re-mating. Sperm mixing in the bursa of females took 24 to 48 hours, at which time the last male to mate had replaced an average of more than 57-75% of the sperm stored by females from previous matings.","Throughout all of central and eastern U.S. and Canada, east of the Rockies."
Great Pondhawk,Odonata,Anisoptera,Libelluloidea,Libellulidae,Erythemis,vesiculosa,"This species is called Great Pondhawk because of its large size. It has dull gray or brown eyes and the face and thorax are bright green and unmarked. The legs are greenish basally, but black for most of their length, with large prominent femoral and tibial spines. The wings are c
lear with a green pterostigma in young individuals. The abdomen is largely green with segments 1-3 swollen and segments 4-7 with dark rings and 8-10 black. The cerci are pale yellow or green. The ovipositor is short, inconspicuous and spout-like in the female.",Total length: 55-65 mm; abdomen: 40-48 mm; hindwing: 38-45 mm.,55-65 mm,40-48 mm,38-45 mm.,"Its size and distinctive wide dark bands on abdominal segments 4-7 will distinguish it from other pondhawks, including the smaller green Eastern (E. simplicicollis
) and Western (E. collocata
) Pondhawk species which have interrupted rings or spots on abdominal segments 4-7. Similar looking clubtails will all have the eyes separated on top of head.","Ponds, lakes, ditches, and slow moving creeks, streams and rivers.","Like other pondhawks in the region, this species is a strong flyer and skillful hunter, taking other flying insects such as horseflies, butterflies and other dragonflies up to its size. It commonly rests on the ground or just above on objects or vegetation. Great Pondhawk is a strong flier and generally wary. Mating occurs while perched and females will lay eggs in nearly any standing or slow moving body of water.",Southern U.S. from Arizona to Florida and throughout Central America south to Argentina.
Band-winged Dragonlet,Odonata,Anisoptera,Libelluloidea,Libellulidae,Erythrodiplax,umbrata,"This is a larger dragonlet, second in size only to the similar Black-winged Dragonlet (E. funerea). Mature males are olivaceous with a broad stripe in the wings extending between the nodus and pterostigma. Males become pruinose, but the cerci remain pale. The wing band becomes progressively darker with age. Females may be similar to the male, but with a paler, reduced stripe in each wing that does not reach the pterostigma. Other, generally more common, females lack a prominent wing band, but have dark wingtips. Young individuals of both sexes have pale rectangular spots laterally on the abdomen. Occasionally the hindwing may be amber or brown basally.",Total length: 38-47 mm; abdomen: 23-34 mm; hindwing: 25-34 mm.,38-47 mm,23-34 mm,25-34 mm.,"The similar Black-winged Dragonlet is much less common and characters are given to separate it under that species. Other similar species include Filigree Skimmer (Pseudoleon superbus), which has wings with much heavier maculation, and Great Pondhawk (Erythemis vesiculosa), which may be confused with young male and female individuals with unmarked wings. Great Pondhawk, however, is bright green with the abdomen well marked with black. The face and thorax of Band-winged Dragonlet are olivaceous or greenish-brown in young individuals of both sexes.","Permanent and temporary marshy ponds, pools and lakes.",This species will occasionally roost in large numbers on the branches of trees with their wings characteristically depressed below the body. Males guard females during egg laying like other members of this genus and will patrol around ponds.,Florida and Texas south throughout Central America south to Argentina; occasional stray to eastern U.S.
Plains Clubtail,Odonata,Anisoptera,Gomphioidea,Gomphidae,Gomphurus,externus,"This species is widely distributed throughout the region, but not as yet reported from Louisiana. Its face is pale yellowish and devoid of dark marks. Females have a stout spine at each end of the vertex. The thorax is pale yellowish-green and the dark brown middorsal stripe is widened slightly, to appear nearly parallel. This stripe is thinly divided by the pale middorsal carina. The antehumeral stripe is narrowly confluent with the humeral stripe at its upper end. There is a pale yellowish stripe, no more than half
 their width, between these two stripes. The mid- and third lateral stripes are present, well-developed and only narrowly confluent at their lower ends. The paler yellow stripe separates the two, but this may become obscured in older individuals. The legs are dark brown or black with a yellow stripe on the outer surface of the tibiae. The wings are clear with a brown pterostigma. The abdomen is black with interrupted pale middorsal and lateral stripes. Segments 7-9 are widely expanded with the middorsal stripe appearing as spearheads on segments 7-8. There is only a pale basal spot on segment 8 in females. Segment 9 has a broad yellow stripe dorsally and segment 10 is yellow. The male cerci are parallel, not divergent, when viewed dorsally.",Total length: 52-60 mm; abdomen: 36-43 mm; hindwing: 30-35 mm.,52-60 mm,36-43 mm,30-35 mm.,"This medium-sized robust yellowish species is most similar to Tamaulipan (G. gonzalezi
) and Pronghorn (G. grazlinellus
) Clubtails. Tamaulipan Clubtail is generally larger and darker with wider brown thoracic stripes and the females lack the erect yellow spines at each end of the postocellar ridge. Pronghorn Clubtail is smaller, but may not always be reliably separated from Plains Clubtail. The epiproct of male Pronghorn Clubtails is barely wider than the cerci. Sulphur-tipped Clubtails (G. militaris
) are smaller with yellow on the femora and more yellow on the club.",Large muddy bottomed rivers and streams with moderate flow.,"Females fly low over streams tapping their abdomen to the water surface. Adults emerge late at night and early in the morning on vegetation, logs, and artificial structures only a few feet above the water. They generally perch on the ground or just above on low vegetation.",Utah south to Texas.
Cobra Clubtail,Odonata,Anisoptera,Gomphioidea,Gomphidae,Gomphurus,vastus,"This eastern species is widespread throughout the Austroriparian biotic province, except in Louisiana. The pale green face is broadly striped with black and the humeral and middorsal thoracic stripes are generally confluent at their upper ends, leaving the antehumeral stripe free at its upper end. The thorax is yellowish-green with the thin midlateral stripe often interrupted above the spiracle. The third lateral stripe may be present, but is usually lacking. The abdomen is black except for a thin interrupted pale yellow middorsal stripe and pale areas laterally on the basal segments. Segments 7-9 are broadly expanded with only a small basal yellow spot laterally on 8 and broad irregular lateral stripe on 9.",Total length: 46-57 mm; abdomen: 33-42 mm; hindwing: 27-35 mm.,46-57 mm,33-42 mm,27-35 mm.,"This species is closest to Gulf Coast Clubtail (G. modestus), but that species is generally paler and has a narrow dark stripe on the face and distinct yellow spots laterally on segments 8 and 9.",Medium-sized rivers or lakes with areas of alternating sand and gravel.,"Cobra Clubtails in Texas are larger and more brown in color than typical northeastern individuals. Cobra Clubtails are unusual among most clubtails, in that they are commonly found in both lakes and streams. They will perch on rocks along the margin of the rivers or lakes they inhabit. This species has been recorded in Louisiana based on sight records, but further investigation suggests these records are most likely attributed to Cocoa Clubtail. This species should, however, occur in Louisiana.",Eastern U.S. westward to Texas.
American Rubyspot,Odonata,Zygoptera,Calopterygoidea,Calopterygidae,Hetaerina,americana,"Males are large with an iridescent red head and thorax. The abdomen is iridescent green getting darker with age. The caudal appendages are pale and the wings have at least the basal fourth red, although the whole wing of teneral individuals may be amber. A pterostigma is present, but see discussion below. Females are largely iridescent green but with wing color duller than in males. The abdomen is pale laterally, including ovipositor. There
 is a pale narrow mid-dorsal line running the length of the abdomen.",Total length: 36-51 mm; abdomen: 29-40 mm; hindwing: 24-31 mm,36-51 mm,29-40 mm,24-31 mm,"This species is very similar to Canyon Rubyspot (H. vulnerata
) which has a duller, coppery-brown abdomen and females lack a pterostigma. Though the ranges of these two species overlap, Canyon Rubyspot is only found in the west. The head and thorax of the male Smoky Rubyspot (H. titia
) is darker, the wing tips are brown and the hindwing is variable, but brown not red basally. Female Smoky Rubyspots lack red in the basal area of the hindwing and the abdomen is brownish-green, not distinctly green and tan.","Wide, open streams and rivers.","Males and females will perch horizontally on twigs and leaves of riparian vegetation, although females often perch higher. Sexes may also congregate near the water at night to roost. Numerous aspects of this species' distribution, behavior and ecology have been well studied. Although this is primarily a stream species, it has been shown experimentally that larvae and teneral adults exposed to still water returned to still water habitats after they had matured. There is extensive variability in this species. There are populations that lack a pterostigma, but these seem to be most abundant west of the Sierra Nevada Mountains in California and all individuals seen b
y the author in our region have had pterostigmas. Apterostigmatous individuals have been collected as far east as Grant and Lincoln counties, in southwestern New Mexico. An increase in the length of the basal red markings in the wings of males throughout the season has been recorded in three different Texas populations. Basal red markings of males collected in April range from 20-35% of the length of the wing. Males sampled at the same localities in September, however, had substantially larger red markings, ranging from 35-50% of the wing length.","Throughout North America; south through Mexico, Guatemala and Honduras."
Smoky Rubyspot,Odonata,Zygoptera,Calopterygoidea,Calopterygidae,Hetaerina,titia,"This is a large damselfly widely dispersed east of Kansan and Chihuahuan biotic provinces. The clypeus, labrum, anterior portion of the frons and basal antennal segment in the male are light tan giving way to darker brown or black on the head. The dorsum of the pterothorax ranges from deep iridescent red to black with broad bronzy-green regions laterally. The wings are variable, but with the basal fourth of both wings red and often diffused with brown. Red veins may be present in this area and the tips of both wings are usually brown. The remainder of the wings may be clear to smoky dark brown or entirely black, but usually with the hind wing much more extensively marked. The female is similar to the male, but the head is lighter in front and variably iridescent green dorsally. The pterothorax is iridescent green and the abdomen is iridescent green to brown. The wings are amber to brown. The dorsal carina of abdominal segment 10 usually ends in a prominent spine projecting well beyond the apical margin. Both sexes have a
 white pterostigma that darkens with age and surmounts 1-3 or more cells.",Total length: 39-53 mm; abdomen: 30-43 mm; hindwing: 25-31 mm.,39-53 mm,30-43 mm,25-31 mm.,"The body of Sparkling Jewelwing (Calopteryx dimidiata) is iridescent blue-green. American (H. americana) and Canyon Rubyspots (H. vulnerata) have bright red basal spots in both wings and are never darkenend beyone the basal B< of the wing. The range of Canyon Rubyspot does not overlap with with Smoky Rubyspot. The abdomen is uniformly dark brown with green reflections, not distinctly irridescent green dorsally and tan laterally as in American Rubyspot.",Small to medium-sized streams and rivers with strong current.,"The variability of this species has lead to confusion and the recognition of several races and forms. Johnson (1963
) studied sympatric populations of American and Smoky Rubyspots on the Guadalupe River in Gruen and Comfort, Texas, and at the Llano River in Junction, Texas. A third population of Smoky Rubyspot was observed at Chinquapin Creek east of Lufkin, Texas. After observing differences in breeding and territorial behavior, Johnson found that the female body color patterns were consistent and that the females bred with their specific male type. He considered these forms to be possible valid species. He also found the flight seasons of the two forms to be different. Florida collections (FSCA
) revealed occasional intergrades between the two female color patterns of the thorax and showed no apparent difference in flight season leading Johnson and Westfall (1970) to place these forms in a species complex. I follow Garrison (1990) who considers them forms of one species, based on the lack of detectable morphological differences between sexes of either form. The differences in degree of wing color in this species may be correlated with seasonality. Spring populations tend to have the dark markings in their wings restricted to the basal 1/4 of the wing, while mid-summer pouplations show a considerasble increase in the degree of brown in the wings and fall generations have completely dark wings. Like American Rubyspot, both sexes of Smoky Rubyspot perch horizontally on vegetation along the shore. They tend to prefer perches higher up and are more wary than the former. Females will invite mating by hovering and reject males with a display similar to that seen in Ebony Jewelwing (Calopteryx maculata), involving a simultaneous spreading of the wings and bending of the abdomen upward. Guarded above by males, females will spend up to two hours ovipositing underwater in wet wood.",Southeastern United States north to Maryland; west to Wisconsin and Texas and New Mexico; extending southward through Mexico to Costa Rica.
Citrine Forktail,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Ischnura,hastata,"Males of this species are distinct because of a unique pterostigma, that is detached from the costa in the forewing. It is lighter in color and twice or more the size of its hindwing counterpart. No other damselfly in the world has this characteristic. The thorax of males is green and the abdomen is bright yellow. The dorsoapical projection on segment 10 is strongly notched and prominent. The cerci project posteriorly and are rounded distally with a ventrally directed medial projection off each. The paraprocts each have a short, rounded posteroventral lobe. Females are red-orange with black stripes across top of the head, middorsally on pterothorax and dorsally on abdominal segments 6-8. In older individuals a light pruinosity envelops the thorax and abdomen, but never completely obscures the pterothoracic pattern. Only gynomorhpic forms are known in this species. A small vulvar spine may or may n
ot be present on segment 8.",Total length: 21-27 mm; abdomen: 16-22 mm; hindwing: 9-15 mm.,21-27 mm,16-22 mm,9-15 mm.,"The female Citrine and Fragile Forktails (I. posita
) are similar, but Fragile Forktails are generally darker and even in pruninose females the distinctive exclamation-like antehumeral stripe is visible with the help of a little magnification. Fragile Forktail females always lack a vulvar spine on segment 8.",Heavily vegetated ponds and lakes and other permanent or temporary bodies of water.,"Citrine Forktail is the smallest damselfly in North America and as the above wide distribution suggests it is a cosmopolitan species with the ability to readily adapt to its environment. Citrine Forktail is found throughout the New World, but remarkably little has been written about its reproductive behavior or ecology. It is not unusual to find individuals far from water. They may be abundant in heavily vegetated areas with little or no water. Whether because of its small size or secretive behavior, Citrine Forktail is seldom seen mating. Average mating time is 20 minutes and fe
males lay eggs unaccompanied by a male in submerged vegetation just under the surface.",Florida to southern Ontario west to Colorado and California south through Mexico to Central and South America.
Lilypad Forktail,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Ischnura,kellicotti,"In males the postocular spots are unusually large and the pterothorax is bright blue with a broad black middorsal stripe and pair of black humeral stripes. The abdomen is largely black with blue on parts of segments 1-2 and 7-10. The forewing pterostigma is larger than its tan hindwing counterpart and becomes bright blue anteriorly with maturity. Males also lack a notable dorsoapical projection on segment 10. The cerci are distinctive, sloping ventrolaterally to form an acute apex. The paraprocts each have a lower appendage that projects posteroventrally. Females exist in both a blue and red-orange form. Each is patterned like the male, with pale colors replaced by red-orange in the latter. A small vulvar spine is usually visible on segment 8.",Total length: 25-31 mm; abdomen: 19-24 mm; hindwing: 12-18 mm.,25-31 mm,19-24 mm,12-18 mm.,"The bright blue or orange color of this species may result in its initial confusion with bluets like Skimming Bluet (Enallagma gemnatum). In Lilypad Forktail, however, the dorsum of abdominal segment 2 is largely blue and the pale postocular spots are much larger than in Skimming Bluet. No other forktails in our region have the large postocular spots seen in this species.",Strongly associated with floating lily pads in lakes.,"This species is unique, among Nearctic odonates, in its obligatory relationship with water lilies (Nuphar and Nymphaea
) in both the larval and adult stages. Williamson (1899a
) was the first to report this little studied relationship. He stated that he, ""...never saw one at rest on any other location than a flat-floating leaf of the white water-lily. They were quarrelsome neighbors and frequently attacked [Skimming and Orange (E. signatum
) Bluet], though apparently without serious injury."" Larvae cling to the bottom of the lily pads and emerge by crawling on top. The adults are nearly always encountered perching or ovipositing on these plants. They somtimes will exhibit a unique posture; while perching on a pad with the abdomen curled downward, they will tilt back on the abdomen with the front legs in the air ready for an immediate getaway. Females, unaccompanied by males, take up to 20 minutes to deposit eggs. One study on the color morphs in a north-central Texas population of this species found no evidence for dichromatic females, but rather that the color change was ontogenetic. Young teneral females are orange, but with the onset of reproductive maturity become blue. The authors of the study found females of netted copulating pairs were nearly always of an intermediate color form. The young orange color form, however, may be reproductively mature, as indicated by a photograph of a copulating pair in Westfall and
May (1996). Interestingly, the same study found that although Lilypad Forktail is rarely harassed, females do not utilize an active mating refusal display to thwart off nearby males, potentially explaining the photograph.",Eastern U.S. from Florida to Maine west to Michigan and south to Texas.
Fragile Forktail,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Ischnura,posita,"Males are generally yellow-green and mature females are blue. Both sexes are recognizable by a conspicuous division o
f the pale antehumeral stripe into an exclamation mark set against a nearly all dark abdomen. The rest of body is metallic black. This species is unique among forktails with the pterostigma in all wings similar and the fewest postquadrangular antenodal cells. The dorsoapical projection on segment 10 in males is forked, but short. The cerci and paraprocts are short and subequal in length. Only andromorphic females are known, but with age they become dark blue with heavy pruinosity. Females lack vulvar spine on segment 8 and have subtriangular mesostigmal plates with raised lateral corners.",Total length: 21-29 mm; abdomen: 16-22 mm; hindwing: 10-16 mm.,21-29 mm,16-22 mm,10-16 mm.,"The antehumeral stripe in Plains (I. damula
) and Western (I. perparva
) Forktails is divided into subequal anterior and posterior spots and abdominal segments 8 and 9 of males are blue. Citrine Forktail (I. hastata
) females are similar, but generally paler in color, have a complete (though often obscured
) antehumeral stripe and may have a vulvar spine on segment 8.","Heavily vegetated ponds, marshes and slow moving waters.","This common widespread species is found in every county in Arkansas and in all but eight parishes in Louisiana. It was introduced to Oahu in 1936 and is now found on all but one of the major Hawaiian islands and as far north as Newfoundland and south into Mexico. A study on the roosting behavior of a north-central Texas population found that unlike most odonates, both sexes were regularly encountered at ponds during the day. Both sexes roosted at night significantly higher on the same branches where they perched earlier in the day. At night the body was found to be at a right angle to the stem, possibly allowing for a quicker escape from predation and more efficiency in warming.",Eastern U.S. from Florida north to Newfoundland west to North Dakota and south to Texas through Mexico to Belize and Guatemala; also Hawaii.
Rambur's Forktail,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Ischnura,ramburii,"The males have a dark head with small pale green postocular spots. The thorax is green with broad black middorsal and humeral stripes that surround a thin pale antehumeral stripe. The abdomen is dark dorsally and pale laterally with blue on all of abdominal segment 8 and anterolaterally on 9. The dorsoapical projection on segment 10 is slight. The cerci are short and blunt. The paraprocts are twice as long as the cerci, unforked and project posteriorly. Females are found in three color forms, including an andromorphic, male-like form. Gynomorphic forms inclue an orange-red form, where the thorax and abdominal segments 1-2 are
entirely orange-red except for a prominent black mid-basal stripe on the former. The rest of the abdomen is dark. A second gynomorphic form is olive-green and patterned like the orange-red form. Because young individuals of the green form look like the red form, it is unclear whether a true genetically determined ""red form"" exists. A prominent vulvar spine on segment 8 is present. The mesostigmal plates are subtriangular with a low, pale ridge forming a continuous posterior border.",Total length: 27-36 mm; abdomen: 21-29 mm; hindwing: 15-19 mm.,27-36 mm,21-29 mm,15-19 mm.,"Desert Forktail (I. barberi
) can be distinguished from Rambur's Forktail by the continuous black stripe dorsally on the abdomen and the absence of blue dorsally on segment 9. Only abdominal segment 9 is blue in male Furtive Forktails (I. prognata
) and only segments 1-2, never 3 and 4, are pale in young female Citrine (I. hastata
) and Furtive Forktails.","Heavily vegetated ponds, lakes, marshes and slow reaches of streams exposed to sunlight including brackish waters.","Rambur's Forktail is the most widespread forktail of the New World, ranging as far north as Maine, southward to southern California, Mexico, Central and South America. It occurs year round in the southern parts of its range. It also inhabits the Hawaiian Islands, where it was introduced in 1973, with possible subsequent introductions. As widespread as this species is, surprisingly little has been written about its biology. Both sexes will remain close to the water and although males are not territorial, females are known to be highly predaceous and often cannibalistic. Males often do not release females from the wheel position for several hours, and sometimes as many as seven, to secure their genetic contribution. Red females will sometimes attack males, but more often curl th
eir abdomen downward while fluttering their wings in a refusal display. Females often lay eggs late in the afternoon, unattended by males, on the underside of floating vegetation or debris, by curling the abdomens. There is an apparent lack of color preference by males, but there are selective advantages and disadvantages of various color forms in populations.",Florida to Maine west to Illinois and south to Texas through Mexico to Chile; also Hawaii.
Plateau Spreadwing,Odonata,Zygoptera,Lestoidea,Lestidae,Lestes,alacer,"The male has a blue face with a black head dorsally. The mesepisternum is black medially, pale blue or yellow laterally and confluent with the dorsal half of the mesepimeron. The remaining ventral half of the mesepimeron is dark and the remaining pterothorax is pale with a dark stripe of variable width running along the metapleural suture. There are a pair of dark marks ventrally on the thorax, posterior to the legs. The abdomen is slender, especially towards its middle. A ventrolateral spot is present on segments 3-5. Segments 6-7 are dark ventrolaterally. These areas along with segments 1-2 and 8-10 become heavily pruinose with age. Females are sim
ilarly colored to males. The markings above the mesopleural suture are similar to the male, but the pterothorax is pale ventrally except for a dark spot just above the anterior end of the metapleural carina and a posteromedial spot on the sternum. The coloration of abdominal segments 3-5 is similar to males. Segments 6-10 are similar, but with dark ventrolateral areas less extensive. Segment 1 is pale in young individuals. The posterolateral margin of the ovipositor basal plate is acutely angulate.",Total length: 34-45 mm; abdomen: 28-36 mm; hindwing: 19-25 mm,34-45 mm,28-36 mm,19-25 mm,"Lyre-tipped Spreadwing (L. unguiculatus
) lacks dark marks posterior to the legs, ventrally on the thorax. Spotted Spreadwing (L. congener
) has dark spots on the metepimeron which are lacking in Plateau Spreadwing. Common Spreadwing (L. disjunctus
) is larger and the dark areas on the thorax are more extensive","Still, slow moving waters",In our region this species emerges in early January and flies through December. This species prefers laying eggs in rushes well above the water line in irregular vertical rows.,"Arizona, New Mexico, Oklahoma and Texas as far east as the Texan biotic province, south through Mexico to Costa Rica"
Southern Spreadwing,Odonata,Zygoptera,Lestoidea,Lestidae,Lestes,australis,"This is the most widespread spreadwing in our region, occurring in all major watersheds and biotic provinces. The face and eyes of males are bright blue with a small, pale spot lateral to each posterior ocellus. There is a pale blue-green stripe on the mesopleural suture that extends the full-length of the suture and is confluent with the pale areas of the metepisternum at the border of the mesepimeron. The rest of the pterothorax varies from pale to black. Legs are dark brown. Older individuals become heavily pruinose ventrolaterally, occasionally obscuring the entire pterothorax (more common in northern populations). The abdomen is largely dark with a metallic green luster dorsally. There are distinct dark ventrolateral spots on segments 6-7. The spots may also be present on segments 3-5, but they are generally less defined. Heavy pruinos
ity develops laterally on segments 1-2, ventrolaterally on segments 7-8 and completely on segments 9-10. The distal medial tooth of the cerci is acute, blunt and distinctly smaller than the basal tooth. Paraprocts are nearly as long as cerci. Females are generally similar to males with the pale stripe running along the mesopleural suture complete and confluent with metathoracic area. Females lack pruinosity on abdomen, but rear of head becomes pruinose, along with coxae and ventrolateral margins of the pterothorax. Laterally abdominal segments 7-10 are uniformly pale yellow, except for a ventrolateral rim of segment 9. Ovipositor with posterolateral corner of basal plate produced to form a distinct acute tooth, longer than its basal width. The ovipositor reaches well beyond margin of segment 10, but does not reach the tips of the paraprocts.",Total length: 36-46 mm; abdomen: 28-36 mm; hindwing: 18-25 mm.,36-46 mm,28-36 mm,18-25 mm.,"Southern Spreadwing is smaller than most other spreadwings in the region. The Northern Spreadwing (L. disjunctus
) generally does not extend south of north-central New Mexico, but it can be separated from the Southern Spreadwing by its darker color pattern, smaller size (33-40 mm
) and the more strongly developed distal tooth on the cerci. Females are similar to those of Slender Spreadwing (L. rectangularis
) and may be easily confused, but for the larger size, more robust and longer abdomen, and the yellow tarsi and tinted wingtips of Slender Spreadwing. The mid-dorsum of the thorax is generally darker than in Plateau (L. alacer
) and Rainpool (L. forficula
) Spreadwings. The abdomen of Lyre-tipped Spreadwing (L . unguiculatus
) is metallic green.","Still, slow moving waters, including permanent or ephemeral ponds, marshes and lakes with moderate vegetation.","This species has received considerable attention by workers due to both its abundance and taxonomic confusion. This species is found everywhere within the region except the extreme western edge where it is replaced by is northern counterpart, L. disjunctus Selys (Northern Spreadwing). Southern Spreadwing is colored similar to the more northern Sweetflag Spreadwing (L. forcipatus
) and their caudal appendages closely resemble one another. Early records for both of these species must be viewed with caution as a result. Southern Spreadwing emerges early in the south-central United States, mid-March, and flies throughout the rest of the year. This species does, however, seem to be most abundant in the fall. Males are not territorial and individuals are often seen a considerable distance, several hundred meters, from any body of water. Mating activity in this species tends to peak in the late afternoon, ca. 5 P.M. Egg laying occurs in tandem in green stems of cattails and similar plants, above the water line. Females will usually lay over a hundred eggs. The larvae can tolerate considerable salinity and may be a common inhabitant of saline lakes. A population study in eastern Ontario, Canada, on sexual size dimorphism and sex-specific survival in adults, found that there was no difference in the mass of mated and unmated males, but that females were more than 50%
heavier than males. It was also determined that males were eight times more abundant than females; however, females were more active than males.",Throughout all of much of the eastern and southern United States west of the Rocky Mountains.
